idade_usuario,salario_usuario,moradia_usuario,tempo_trabalho_usuario,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_emprestimo,status_emprestimo,renda_percentual_emprestimo,status_inadimplencia,tempo_credito
42,73100,Alugada,4,Medico,D,12000,16.77,1,0.14,Y,13
27,36000,Hipotecada,6,Empreendimento,B,4000,11.49,0,0.11,N,9
24,74909,Hipotecada,8,Medico,B,14000,9.99,1,0.16,N,2
NULL,20000,Propria,0,Pessoal,D,22000,NULL,0,0.22,N,7
22,39000,Alugada,4,Medico,B,14000,10.37,1,0.36,N,3
24,24000,Propria,5,Empreendimento,A,4200,6.99,0,0.17,N,3
27,129700,Hipotecada,1,Pessoal,A,10000,6.54,0,0.08,N,9
23,67000,Alugada,7,Medico,B,3000,10.99,0,0.04,N,2
31,130000,Hipotecada,10,Medico,A,9800,8.49,0,0.08,N,5
25,52000,Alugada,4,Empreendimento,D,6000,14.96,0,0.12,Y,2
23,40000,Hipotecada,2,Medico,B,2000,10.99,0,0.05,N,4
23,31000,Alugada,1,Pessoal,D,1000,14.96,1,0.03,Y,3
26,36000,Alugada,3,Educacao,A,3000,7.88,0,0.08,N,4
31,250000,Hipotecada,2,Medico,C,4000,14.22,0,0.02,Y,10
27,69500,Hipotecada,11,Medico,A,14750,7.49,0,0.21,N,9
23,70000,Hipotecada,7,Educacao,B,4000,NULL,0,0.06,N,4
21,36000,Alugada,3,"Melhoria do lar",B,11000,10.37,1,0.31,N,4
25,65000,Hipotecada,6,Pessoal,C,7500,13.47,0,0.12,N,4
23,21600,Alugada,1,Educacao,D,4500,15.65,1,0.21,N,2
23,31800,Alugada,4,"Pagamento de Débitos",D,10000,15.33,1,0.31,N,4
28,43680,Alugada,3,Educacao,C,4475,15.27,0,0.1,N,8
25,80000,Hipotecada,9,"Melhoria do lar",B,12000,10,0,0.15,N,4
23,61498,Hipotecada,5,Medico,B,5000,11.36,0,0.08,N,3
23,165000,Hipotecada,3,Educacao,A,9600,5.99,0,0.06,N,3
33,100000,Hipotecada,16,Medico,B,15000,11.71,0,0.15,N,9
24,19200,Alugada,0,"Pagamento de Débitos",A,5600,8.9,1,0.29,N,2
23,138000,Alugada,1,Educacao,D,5000,14.91,1,0.04,N,2
31,46875,Alugada,1,Educacao,B,8000,NULL,0,0.17,N,8
39,110000,Alugada,5,"Melhoria do lar",C,4500,13.49,0,0.04,N,11
25,65000,Alugada,3,Pessoal,D,18000,15.33,1,0.28,N,4
46,47000,Hipotecada,5,Pessoal,A,6000,7.14,0,0.13,N,14
41,70000,Hipotecada,2,Pessoal,B,5000,12.69,0,0.07,N,12
21,57000,Alugada,3,Pessoal,A,3000,5.42,0,0.05,N,3
24,64000,Hipotecada,3,Medico,B,13225,10.37,0,0.21,N,3
26,62000,Hipotecada,NULL,,A,2100,15.99,1,0.22,N,2
31,83000,Alugada,2,Pessoal,B,12000,12.42,0,0.14,N,7
47,41000,Alugada,2,Medico,C,10000,13.79,0,0.24,N,16
22,47004,Alugada,2,Pessoal,A,4000,NULL,0,0.09,N,3
27,30000,Alugada,12,"Pagamento de Débitos",B,16000,10.99,1,0.53,N,6
24,60000,Hipotecada,8,Medico,A,13000,7.29,0,0.22,N,2
30,51996,Hipotecada,5,Empreendimento,A,3200,6.99,0,0.06,N,10
25,70000,Hipotecada,4,Pessoal,C,15000,13.16,1,0.21,Y,3
24,58650,Alugada,6,Medico,D,6300,14.91,1,0.09,Y,2
25,45000,Hipotecada,9,"Pagamento de Débitos",A,3200,7.74,0,0.07,N,3
23,120000,Hipotecada,7,Medico,B,20000,12.21,0,0.17,N,3
36,38795,Hipotecada,NULL,Medico,B,2000,NULL,0,0.05,N,13
29,55000,Hipotecada,9,"Melhoria do lar",A,5000,NULL,0,0.09,N,10
25,60000,Alugada,9,Medico,B,7000,10.36,0,0.12,N,3
22,50000,Alugada,5,Pessoal,B,10000,11.71,0,0.2,N,3
24,105804,Hipotecada,8,Educacao,A,15000,7.49,0,0.14,N,2
25,79000,Hipotecada,9,"Pagamento de Débitos",A,10000,5.79,0,0.13,N,2
34,180000,Hipotecada,9,Educacao,C,12900,12.99,0,0.07,Y,7
25,52000,Alugada,2,Empreendimento,C,6000,12.87,0,0.12,Y,4
21,27600,Alugada,4,Educacao,A,7500,6.76,0,0.27,N,4
24,26400,Alugada,7,Medico,A,3000,NULL,0,0.11,N,2
25,42000,Alugada,9,Empreendimento,C,11500,13.79,0,0.27,Y,3
26,42000,Hipotecada,4,Medico,B,15000,11.26,0,0.36,N,4
28,80000,Alugada,9,Pessoal,B,18000,11.49,0,0.23,N,6
23,75000,Hipotecada,4,Medico,C,16800,13.47,0,0.22,N,4
24,80004,Alugada,3,Educacao,A,10000,6.62,0,0.12,N,2
28,51000,Propria,2,"Pagamento de Débitos",E,20400,17.74,1,0.4,Y,5
23,24960,Alugada,0,Pessoal,B,10000,9.64,1,0.4,N,4
25,57424,Alugada,2,Medico,D,12000,15.31,1,0.18,N,4
26,37000,Alugada,0,Pessoal,B,14000,9.88,1,0.38,N,4
32,288000,Hipotecada,8,"Pagamento de Débitos",D,25000,14.83,1,0.09,Y,10
35,52000,Alugada,2,Empreendimento,B,9000,NULL,0,0.17,N,9
30,102000,Alugada,2,Empreendimento,B,25000,9.62,0,0.25,N,8
31,24996,Alugada,0,Educacao,C,10750,12.53,1,0.43,N,8
26,36000,Hipotecada,10,"Melhoria do lar",C,5000,12.29,1,0.14,Y,3
29,63500,Alugada,4,"Pagamento de Débitos",B,1600,11.83,0,0.03,N,5
34,91200,Alugada,5,Medico,A,12000,6.92,0,0.13,N,7
32,45000,Hipotecada,NULL,Pessoal,B,7200,12.69,0,0.16,N,5
38,126000,Hipotecada,3,Empreendimento,D,2400,NULL,0,0.02,N,14
24,132000,Hipotecada,8,"Pagamento de Débitos",D,1500,17.27,1,0.01,N,2
26,200000,Hipotecada,10,"Melhoria do lar",B,12000,11.71,0,0.06,N,2
26,25000,Alugada,1,Medico,B,8000,11.71,1,0.32,N,4
27,50000,Alugada,0,Empreendimento,A,14000,6.54,0,0.28,N,8
22,63000,Hipotecada,2,"Pagamento de Débitos",A,4000,NULL,0,0.06,N,2
22,105500,Alugada,6,Educacao,B,6000,11.99,0,0.06,N,4
33,20000,Alugada,5,Pessoal,C,4000,13.47,0,0.2,Y,8
21,9600,Alugada,0,Educacao,A,20000,NULL,0,0.26,N,3
25,90000,Alugada,9,"Melhoria do lar",C,6000,13.49,0,0.07,N,4
35,20000,Alugada,4,Educacao,D,6000,15.99,0,0.3,N,5
24,39000,Hipotecada,3,"Melhoria do lar",A,5600,5.42,0,0.14,N,4
33,86000,Hipotecada,6,"Pagamento de Débitos",C,3600,13.98,1,0.04,N,5
33,62130,Alugada,6,"Melhoria do lar",A,9050,7.29,0,0.15,N,7
22,128474,Hipotecada,6,"Pagamento de Débitos",A,30000,7.29,0,0.23,N,2
36,250000,Alugada,2,"Pagamento de Débitos",A,20000,7.88,0,0.08,N,17
25,38000,Alugada,9,Pessoal,E,15000,16.45,1,0.39,Y,3
27,51000,Alugada,1,"Melhoria do lar",B,8400,10.71,0,0.16,N,5
28,37584,Propria,2,Medico,B,20000,11.48,0,0.53,N,5
22,72500,Hipotecada,7,Educacao,A,13200,7.29,0,0.18,N,3
24,45000,Alugada,3,Medico,D,2850,11.86,0,0.06,N,2
23,45000,Alugada,7,Empreendimento,A,2000,7.05,0,0.04,N,3
31,27000,Alugada,7,"Melhoria do lar",A,6000,8.94,1,0.22,N,6
24,105000,Hipotecada,8,"Melhoria do lar",C,5600,15.23,0,0.05,N,4
29,41000,Propria,6,Medico,B,5000,11.99,0,0.12,N,5
30,50000,Alugada,0,"Pagamento de Débitos",C,7000,14.65,0,0.14,N,9
23,40440,Alugada,0,Educacao,C,5500,12.73,0,0.14,N,4
27,36500,Alugada,3,"Pagamento de Débitos",C,7000,10.78,0,0.19,N,8
25,95000,Alugada,1,"Pagamento de Débitos",A,7000,6.99,0,0.07,N,2
36,50000,Alugada,4,Pessoal,D,8000,17.49,0,0.16,Y,14
27,44000,Alugada,2,Medico,B,15000,11.48,1,0.34,N,5
24,85000,Alugada,5,Medico,B,25000,10.62,0,0.29,N,4
37,60000,Alugada,21,"Pagamento de Débitos",B,16000,NULL,0,0.27,N,15
22,20000,Alugada,2,Pessoal,B,4000,9.45,0,0.2,N,3
25,61995,Alugada,2,Empreendimento,B,8000,9.99,0,0.13,N,4
21,30000,Hipotecada,5,Empreendimento,B,6400,NULL,0,0.21,N,3
23,52000,Alugada,0,Educacao,A,3000,5.99,0,0.06,N,2
26,60000,Alugada,3,Medico,A,7000,6.91,0,0.12,N,2
27,NULL,,1,"Pagamento de Débitos",B,5000,7.68,0,0.14,N,4
32,45000,Hipotecada,7,"Pagamento de Débitos",A,4000,7.49,0,0.09,N,7
26,69575,Alugada,3,Medico,A,14000,9.63,0,0.2,N,3
23,63000,Alugada,7,Educacao,C,5000,13.23,0,0.08,Y,4
32,50000,Alugada,0,"Melhoria do lar",A,3775,6.17,0,0.08,N,8
35,60000,Hipotecada,0,Medico,B,12000,10.75,0,0.2,N,8
33,100000,Hipotecada,0,"Pagamento de Débitos",B,24000,10.25,0,0.24,N,6
26,34000,Hipotecada,8,Pessoal,A,6000,6.92,0,0.18,N,4
25,85000,Hipotecada,6,"Melhoria do lar",A,4000,6.54,0,0.05,N,3
41,61000,Hipotecada,16,Pessoal,B,8500,NULL,0,0.14,N,14
27,92508,Hipotecada,11,Pessoal,A,13000,7.14,0,0.14,N,5
28,32000,Alugada,0,"Pagamento de Débitos",C,2600,13.49,0,0.08,N,8
25,28128,Alugada,2,Empreendimento,D,7500,15.33,1,0.27,N,3
22,61500,Alugada,3,Medico,C,10000,14.22,0,0.16,N,2
32,138000,Hipotecada,5,Empreendimento,C,16800,14.35,0,0.12,N,9
25,45000,Hipotecada,0,Empreendimento,B,17000,11.89,0,0.38,N,2
33,68000,Hipotecada,8,Pessoal,B,3500,11.99,0,0.05,N,10
26,60000,Alugada,2,Medico,C,8000,13.61,0,0.13,N,4
28,84800,Alugada,4,"Pagamento de Débitos",B,9000,NULL,0,0.11,N,7
27,24570,Hipotecada,2,Pessoal,C,8500,NULL,0,0.35,Y,8
27,88000,Hipotecada,11,"Melhoria do lar",A,5000,8.9,1,0.06,N,9
23,19200,Propria,NULL,Pessoal,A,6000,6.54,1,0.31,N,2
24,75000,Alugada,8,Pessoal,D,12000,NULL,0,0.16,N,4
28,70254,Propria,12,Empreendimento,A,3500,6.62,0,0.05,N,9
22,45000,Hipotecada,0,Medico,A,9125,5.79,0,0.2,N,3
45,23000,Propria,2,Pessoal,A,7000,7.29,0,0.3,N,15
27,80000,Hipotecada,11,Pessoal,A,8500,6.03,0,0.11,N,6
22,57000,Hipotecada,1,Empreendimento,A,3200,5.99,0,0.06,N,4
25,63720,Hipotecada,8,"Melhoria do lar",A,12500,7.51,0,0.2,N,3
23,33600,Alugada,3,Empreendimento,C,5000,13.49,0,0.15,Y,4
32,40000,Hipotecada,16,Medico,A,16000,5.99,0,0.4,N,9
22,70000,Hipotecada,6,"Pagamento de Débitos",A,10000,7.29,0,0.14,N,3
25,115000,Hipotecada,1,Educacao,D,20000,15.65,0,0.17,Y,2
25,60000,Hipotecada,9,"Melhoria do lar",A,6500,5.79,0,0.11,N,4
22,63400,Hipotecada,6,Pessoal,B,10500,9.99,0,0.17,N,2
21,50500,Alugada,0,Medico,B,5000,10.37,0,0.1,N,3
28,82000,Hipotecada,0,Medico,C,15000,12.98,0,0.18,Y,8
23,90000,Alugada,7,Educacao,C,7500,11.03,0,0.08,N,4
30,28000,Propria,5,"Melhoria do lar",B,6300,11.99,0,0.23,N,8
22,70000,Alugada,4,Empreendimento,A,7550,7.51,0,0.11,N,2
23,64000,Alugada,5,Empreendimento,B,8000,10,0,0.13,N,2
23,73500,Alugada,1,Empreendimento,C,12000,12.99,1,0.16,N,2
26,120000,Hipotecada,7,"Melhoria do lar",F,25000,15.76,0,0.21,N,4
21,50400,Alugada,4,Empreendimento,D,8000,15.62,0,0.16,Y,2
24,142800,Hipotecada,8,Medico,D,25000,14.84,1,0.15,Y,2
29,14400,Alugada,4,"Pagamento de Débitos",A,2200,5.99,0,0.15,N,10
26,65000,Hipotecada,10,"Melhoria do lar",A,8000,6.99,0,0.12,N,3
38,67870,Hipotecada,6,Medico,B,5000,NULL,0,0.07,N,13
25,49200,Hipotecada,6,Medico,A,5600,7.49,0,0.11,N,3
22,88000,Hipotecada,6,"Pagamento de Débitos",F,25000,18.09,1,0.28,N,2
24,36000,Alugada,5,Medico,D,6000,14.96,0,0.17,N,2
37,38400,Hipotecada,1,"Pagamento de Débitos",A,2400,6.99,0,0.06,N,17
27,78000,Hipotecada,2,Medico,B,7000,9.62,0,0.09,N,6
25,92407,Alugada,9,Medico,B,20000,9.25,0,0.22,N,2
22,20800,Alugada,1,"Pagamento de Débitos",A,7200,6.91,1,0.35,N,4
37,110000,Alugada,12,Educacao,B,25000,10.99,0,0.23,N,12
24,23000,Alugada,4,Pessoal,A,5900,9.63,0,0.26,N,4
30,55000,Alugada,14,"Pagamento de Débitos",C,15800,14.72,0,0.29,N,9
26,30000,Alugada,3,Pessoal,B,5400,10,0,0.18,N,4
28,15000,Alugada,0,Medico,B,1800,11.49,0,0.12,N,7
31,12252,Alugada,15,Pessoal,C,2400,NULL,1,0.2,Y,10
32,12000,Alugada,3,Medico,C,900,10.28,1,0.07,N,5
49,45000,Alugada,8,Pessoal,C,10000,14.22,0,0.22,N,12
30,40000,Alugada,8,Empreendimento,A,2500,5.79,0,0.06,N,10
39,125000,Hipotecada,13,"Pagamento de Débitos",A,4500,6.62,0,0.04,N,11
30,36000,Alugada,7,"Pagamento de Débitos",D,8000,15.99,1,0.22,N,6
21,65000,Alugada,NULL,"Pagamento de Débitos",B,NULL,6.62,1,0.31,N,2
NULL,35000,Alugada,9,Educacao,A,7000,11.49,NULL,0.22,N,2
26,65000,Hipotecada,7,"Melhoria do lar",B,14400,9.99,0,0.22,N,3
24,69000,Hipotecada,9,Medico,A,7200,7.88,0,0.1,N,2
25,70200,Alugada,9,Educacao,E,18000,16.45,0,0.26,N,2
29,93924,Hipotecada,7,"Pagamento de Débitos",D,8400,NULL,1,0.09,N,10
27,48996,Hipotecada,0,"Melhoria do lar",B,5000,11.83,0,0.1,N,10
35,85000,Alugada,0,"Melhoria do lar",A,5000,9.07,0,0.06,N,6
32,62900,Hipotecada,5,Medico,D,2750,NULL,1,0.04,Y,7
26,75000,Hipotecada,10,"Pagamento de Débitos",A,15350,6.17,0,0.2,N,4
23,21600,Alugada,0,Medico,C,5400,NULL,0,0.25,Y,4
24,41004,Alugada,8,Educacao,A,6000,7.68,0,0.15,N,4
37,36000,Hipotecada,5,"Pagamento de Débitos",A,12000,6.03,0,0.33,N,13
29,135000,Hipotecada,0,Educacao,A,20000,12.29,NULL,NULL,N,9
32,27600,Alugada,0,Medico,A,7000,6.54,0,0.25,N,9
31,33600,Alugada,0,Medico,B,4000,11.49,0,0.12,N,5
27,51000,Propria,3,"Melhoria do lar",A,3500,7.88,0,0.07,N,5
50,150000,Alugada,3,"Pagamento de Débitos",A,NULL,11.83,NULL,0.19,N,5
45,54000,Alugada,3,Educacao,C,7000,NULL,1,0.13,N,16
21,64424,Alugada,3,Pessoal,A,5000,6.03,0,0.08,N,4
25,185000,Alugada,6,Empreendimento,C,15000,15.27,0,0.08,N,2
25,84000,Alugada,9,Educacao,C,20000,13.92,0,0.24,N,2
32,70000,Alugada,2,"Pagamento de Débitos",B,3000,11.11,1,0.04,N,6
27,80000,Hipotecada,0,"Pagamento de Débitos",C,10000,12.68,0,0.13,N,5
22,27000,Alugada,6,"Pagamento de Débitos",A,5000,9.32,0,0.19,N,2
26,85200,Hipotecada,10,"Melhoria do lar",A,8000,6.03,0,0.09,N,4
21,28800,Hipotecada,0,"Pagamento de Débitos",A,5000,7.49,0,0.17,N,3
23,34320,Alugada,5,"Pagamento de Débitos",F,7000,18.3,1,0.2,Y,3
28,59000,Hipotecada,2,Empreendimento,B,14000,10.36,0,0.24,N,7
24,45000,Hipotecada,8,"Melhoria do lar",A,4200,7.14,0,0.09,N,2
27,56000,Hipotecada,4,"Pagamento de Débitos",B,10050,9.63,0,0.18,N,8
26,35000,Alugada,10,Medico,B,12875,NULL,1,0.37,N,2
22,41000,Propria,0,Pessoal,A,1000,6.99,0,0.02,N,2
31,83000,Hipotecada,11,Medico,A,7500,NULL,0,0.09,N,6
27,48600,Hipotecada,4,Pessoal,D,10000,15.7,0,0.21,N,9
33,71000,Hipotecada,11,Pessoal,C,6000,14.72,0,0.08,Y,7
33,63600,Hipotecada,NULL,"Pagamento de Débitos",C,8500,13.23,0,0.13,N,8
34,48000,Hipotecada,7,Educacao,B,8400,11.71,0,0.17,N,10
46,80000,Hipotecada,13,"Melhoria do lar",D,20000,14.54,0,0.25,N,13
22,31200,Alugada,5,Pessoal,C,10000,12.73,1,0.32,N,4
25,NULL,Alugada,8,"Pagamento de Débitos",C,2500,9.62,0,0.05,,12
24,60000,Alugada,0,Empreendimento,A,6800,7.51,0,0.11,N,2
29,57000,Hipotecada,13,"Melhoria do lar",A,6000,9.32,0,0.11,N,5
27,87000,Hipotecada,2,Empreendimento,A,7200,9.63,0,0.08,N,6
22,60000,Alugada,4,Pessoal,B,9800,NULL,0,0.16,N,3
28,27500,,13,Empreendimento,A,17000,6.91,0,0.31,N,4
37,42000,Alugada,2,Empreendimento,C,8400,13.49,0,0.2,N,15
23,96000,Alugada,7,Educacao,A,7300,8.49,0,0.08,N,4
34,80000,Alugada,6,Educacao,C,14000,14.27,0,0.17,Y,7
24,65004,Alugada,0,"Melhoria do lar",B,3200,9.99,0,0.05,N,4
25,60000,Hipotecada,10,"Pagamento de Débitos",B,10000,11.49,0,0.17,N,2
24,40800,Alugada,0,Medico,B,7000,11.86,0,0.17,N,2
25,50000,Alugada,9,"Melhoria do lar",C,6000,14.17,0,0.12,N,3
23,124800,Hipotecada,2,"Pagamento de Débitos",A,5000,6.62,0,0.04,N,3
30,24000,Propria,NULL,Pessoal,A,6000,5.79,0,0.25,N,9
33,18720,Propria,0,"Pagamento de Débitos",C,3500,13.16,1,0.19,Y,6
22,75000,Hipotecada,6,"Pagamento de Débitos",A,6000,7.74,0,0.08,N,4
27,50000,Alugada,5,Medico,A,7300,7.29,0,0.15,N,9
28,40000,Alugada,NULL,Medico,B,12000,6.62,0,0.17,,11
46,47844,Propria,16,Empreendimento,A,27175,8.49,0,0.57,N,13
50,120000,Alugada,0,Medico,B,12000,9.62,0,0.1,N,12
22,78700,Hipotecada,6,"Pagamento de Débitos",A,5000,12.18,NULL,0.09,,3
35,106369,Hipotecada,2,Medico,A,8325,6.99,0,0.08,N,10
36,20112,Hipotecada,NULL,Medico,A,3900,5.99,0,0.19,N,12
30,64600,Alugada,0,Medico,A,21500,6.91,1,0.28,N,10
29,8472,Alugada,2,Pessoal,A,3000,7.49,1,0.35,N,7
NULL,NULL,Alugada,2,Pessoal,E,12000,7.49,0,0.21,N,17
23,66000,Hipotecada,7,Pessoal,B,10000,9.63,0,0.15,N,4
22,62000,Alugada,6,Medico,A,12500,7.29,0,0.2,N,2
31,43288,Alugada,7,Medico,B,10000,10.74,0,0.23,N,5
31,32904,Hipotecada,15,Empreendimento,C,3000,NULL,0,0.09,N,5
64,119000,Hipotecada,3,Pessoal,A,5000,8,0,0.04,N,22
34,100000,Hipotecada,11,Medico,C,18000,NULL,0,0.18,Y,6
46,NULL,Hipotecada,1,Medico,A,NULL,11.36,0,0.08,N,3
33,110000,Alugada,3,"Melhoria do lar",B,12000,10.65,0,0.11,N,5
28,36960,Propria,6,"Melhoria do lar",C,15000,13.61,0,0.41,Y,10
25,99996,Hipotecada,3,,A,12000,NULL,0,0.16,N,4
25,80400,Hipotecada,9,"Pagamento de Débitos",A,1000,5.42,0,0.01,N,3
23,93600,Alugada,3,Empreendimento,D,25000,15.21,0,0.27,N,4
33,240000,Propria,15,Pessoal,C,15000,13.16,0,0.06,Y,10
60,9600,Alugada,4,"Pagamento de Débitos",B,2800,10.99,1,0.29,N,28
23,38000,Alugada,7,Empreendimento,A,10000,7.51,0,0.26,N,4
23,48000,Alugada,7,Medico,D,20000,15.65,1,0.42,N,4
34,51600,Alugada,NULL,Medico,D,1600,15.21,1,0.03,Y,6
44,57600,Alugada,12,Pessoal,A,7000,7.4,0,0.12,N,11
29,30000,Hipotecada,2,Medico,A,6500,8.59,0,0.22,N,10
23,60000,Hipotecada,8,Educacao,B,21000,NULL,0,0.35,N,3
27,12240,Alugada,0,Empreendimento,B,3250,10.36,1,0.27,N,9
26,82400,Alugada,10,Empreendimento,C,2500,13.92,0,0.03,N,3
23,30000,Alugada,0,Medico,A,3000,5.79,0,0.1,N,3
25,37200,Alugada,6,Empreendimento,A,7000,7.14,0,0.19,N,4
23,60000,Alugada,3,Empreendimento,D,10400,14.91,0,0.17,Y,4
28,21000,Alugada,0,Pessoal,D,4200,15.21,1,0.2,Y,10
27,63945,Alugada,6,Empreendimento,A,3500,7.9,0,0.05,N,5
30,100800,Hipotecada,5,Empreendimento,B,22000,12.42,0,0.22,N,7
23,22800,Hipotecada,3,Pessoal,A,4800,5.79,0,0.21,N,2
23,34000,Propria,7,Educacao,A,10950,7.29,0,0.32,N,2
26,29364,Alugada,4,"Melhoria do lar",C,6000,13.35,1,0.2,Y,4
23,85000,Hipotecada,0,Educacao,A,24000,7.49,0,0.28,N,4
23,42240,Hipotecada,3,Educacao,C,5500,12.73,0,0.13,N,3
30,230000,Hipotecada,14,"Pagamento de Débitos",C,12000,13.98,0,0.05,Y,10
21,75000,Hipotecada,5,Empreendimento,B,14125,10.99,0,0.19,N,2
58,900000,Alugada,18,"Pagamento de Débitos",,8000,NULL,NULL,0.15,N,15
51,45000,Alugada,2,Medico,C,8400,13.11,0,0.19,Y,18
21,55438,Alugada,4,Empreendimento,C,19400,13.49,1,0.35,N,2
41,250000,Hipotecada,18,Educacao,B,5000,9.99,0,0.02,N,12
25,46250,Alugada,2,Medico,A,3000,NULL,0,0.06,N,3
29,53360,Hipotecada,11,Educacao,A,10475,7.88,0,0.2,N,9
23,36000,Alugada,7,Pessoal,B,12250,NULL,1,0.34,N,3
31,75000,Hipotecada,3,Empreendimento,F,8000,18.21,0,0.11,Y,7
25,13296,Alugada,NULL,"Melhoria do lar",B,4950,9.63,1,0.37,N,3
28,39000,Alugada,0,Medico,A,9600,7.49,0,0.25,N,8
25,55000,Hipotecada,1,"Pagamento de Débitos",C,2000,13.22,0,0.04,N,2
27,48000,Alugada,2,"Melhoria do lar",A,4000,6.03,1,0.08,N,6
22,65000,Propria,6,Medico,C,12000,6.92,NULL,NULL,N,14
23,50000,Propria,0,Empreendimento,B,14000,10.33,0,0.28,N,2
24,58000,Hipotecada,6,"Pagamento de Débitos",A,2200,7.4,0,0.04,N,3
27,42000,Alugada,3,Empreendimento,A,2400,6.54,0,0.06,N,10
22,60000,Hipotecada,6,Empreendimento,A,7000,7.14,0,0.12,N,3
33,90000,Hipotecada,4,Educacao,C,12000,12.98,0,0.13,N,5
48,39915,Alugada,15,Empreendimento,A,20000,7.49,1,0.5,N,12
22,65000,Hipotecada,2,Empreendimento,B,10000,11.11,0,0.15,N,3
24,39996,Hipotecada,1,Pessoal,B,3000,9.91,0,0.08,N,4
23,72000,Alugada,7,Pessoal,B,10000,10.59,0,0.14,N,4
30,42000,,1,"Pagamento de Débitos",A,14000,NULL,0,0.42,N,2
33,43000,Alugada,1,Educacao,C,9150,13.16,0,0.21,Y,10
24,50000,Hipotecada,1,Pessoal,C,11400,12.53,0,0.23,N,2
24,48000,Hipotecada,3,"Pagamento de Débitos",B,4800,9.99,0,0.1,N,2
24,76597,Alugada,5,Educacao,B,22000,9.25,0,0.29,N,2
47,140000,Alugada,4,Empreendimento,C,10000,NULL,0,0.07,Y,13
24,71000,Alugada,8,Empreendimento,B,11200,11.36,0,0.16,N,3
38,65000,Alugada,6,Pessoal,C,7500,12.29,0,0.12,Y,13
52,100000,Propria,4,Pessoal,B,10000,9.88,0,0.1,N,25
28,60000,Hipotecada,4,"Pagamento de Débitos",B,4800,NULL,0,0.08,N,5
25,74000,Hipotecada,5,"Melhoria do lar",D,10000,14.59,0,0.14,Y,4
33,22356,Alugada,2,Medico,,25000,NULL,1,0.29,Y,5
34,30000,Alugada,3,Pessoal,A,9050,5.99,0,0.3,N,9
22,40000,Alugada,1,Educacao,B,16000,8.88,1,0.4,N,3
30,44000,Alugada,0,Pessoal,D,10500,15.58,1,0.24,Y,10
26,35000,Alugada,NULL,Medico,B,14500,11.49,1,0.41,N,3
26,42000,Alugada,3,Pessoal,B,3500,10.74,0,0.08,N,4
41,21600,Propria,1,"Melhoria do lar",C,3500,13.61,0,0.16,N,12
24,65000,Hipotecada,3,Educacao,A,6000,6.03,0,0.09,N,3
31,34000,Alugada,0,Medico,A,7500,8.94,0,0.22,N,8
21,34000,Alugada,5,"Pagamento de Débitos",C,7800,13.79,1,0.23,N,2
22,69600,Alugada,6,"Pagamento de Débitos",C,1350,12.68,0,0.02,Y,3
21,21600,,6,Educacao,,3000,5.79,0,0.04,N,3
35,46654,Hipotecada,19,Educacao,B,17000,11.83,0,0.36,N,10
24,30000,,0,,A,15000,13.79,0,0.32,Y,9
25,17600,Alugada,NULL,Pessoal,C,4500,13.99,1,0.26,N,2
23,21600,Hipotecada,7,Educacao,A,2000,6.17,0,0.09,N,4
31,95000,Hipotecada,5,"Melhoria do lar",B,15000,11.14,0,0.16,N,5
39,48000,Alugada,0,Empreendimento,C,10000,13.22,0,0.21,N,16
37,55000,Alugada,3,"Melhoria do lar",E,7000,16.32,0,0.13,Y,13
29,70000,Alugada,2,Medico,C,20000,13.85,0,0.29,N,5
38,96000,Hipotecada,0,Pessoal,C,1500,14.26,0,0.02,N,14
28,30000,Hipotecada,4,"Melhoria do lar",A,3000,6.76,0,0.1,N,9
39,75000,Alugada,0,Pessoal,B,14400,12.53,0,0.19,N,15
33,58800,Alugada,10,Empreendimento,B,3000,11.49,0,0.05,N,5
34,NULL,Hipotecada,4,,A,12000,16.29,1,0.21,Y,2
44,95000,Hipotecada,1,Pessoal,B,21200,9.91,0,0.22,N,14
27,96996,Hipotecada,11,"Pagamento de Débitos",B,1500,10.95,0,0.02,N,10
29,67992,Hipotecada,0,"Melhoria do lar",A,2000,7.43,0,0.03,N,7
26,36000,Propria,NULL,Pessoal,B,15000,10.25,0,0.42,N,2
23,75000,Alugada,6,"Pagamento de Débitos",A,13000,6.91,0,0.17,N,2
22,66000,Hipotecada,4,"Pagamento de Débitos",A,2700,6.76,0,0.04,N,3
29,37500,Alugada,7,Educacao,B,3300,10.37,0,0.09,N,8
40,55182,Alugada,0,Empreendimento,A,6000,6.99,0,0.11,N,13
27,45000,Hipotecada,2,Medico,A,10000,6.17,0,0.22,N,9
26,92000,Hipotecada,0,"Pagamento de Débitos",B,5600,11.46,0,0.06,N,3
24,36000,Alugada,3,Educacao,D,5300,15.28,0,0.15,N,3
23,75000,Propria,7,Empreendimento,A,20400,7.74,0,0.27,N,4
25,30000,Alugada,1,Educacao,B,3075,10.59,0,0.1,N,2
22,38000,Alugada,2,Educacao,C,1500,13.22,0,0.04,Y,2
42,48000,Propria,0,Pessoal,C,3500,14.35,0,0.07,N,12
23,60000,Hipotecada,7,Educacao,A,15000,7.9,0,0.25,N,3
28,90000,Alugada,5,"Pagamento de Débitos",C,7000,12.87,0,0.08,Y,10
NULL,31000,Alugada,6,Pessoal,C,2800,7.88,NULL,0.03,N,9
22,30000,Alugada,4,Empreendimento,D,5000,15.21,1,0.17,Y,3
